Type;Rent;Move in price;Address;Link
2 værelses lejlighed på 67 m²;5.100;26.100,-;Herluf Trolles Gade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/67m2-2-vaer-id-3973964
2 værelses lejlighed på 65 m²;5.100;26.100,-;Ivar Huitfeldts Gade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/65m2-2-vaer-id-5159143
3 værelses lejlighed på 60 m²;5.100;20.900,-;Sjællandsgade, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/60m2-3-vaer-id-5176571
1 værelses lejlighed på 44 m²;5.100;26.000,-;Nygade, 9400 Aalborg, Nørresundby - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/44m2-1-vaer-id-2156763
2 værelses lejlighed på 58 m²;5.105;26.025,-;Islandsgade, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/58m2-2-vaer-id-5136234
2 værelses lejlighed på 49 m²;5.135;26.075,-;Gugvej, 9210 Aalborg, Aalborg SØ - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/49m2-2-vaer-id-5174013
2 værelses lejlighed på 50 m²;5.145;24.925,-;Mylius Erichsens Vej, 9210 Aalborg, Aalborg SØ - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/50m2-2-vaer-id-5172120
2 værelses lejlighed på 69 m²;5.150;26.573,-;Stationsmestervej, 9200 Aalborg, Aalborg SV - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/69m2-2-vaer-id-5077921
2 værelses lejlighed på 43 m²;5.150;25.900,-;Skrænten, 9400 Aalborg, Nørresundby;https://www.boligportal.dk/lejligheder/aalborg/43m2-2-vaer-id-5176495
2 værelses lejlighed på 48 m²;5.150;26.359,-;Gertrud Rasks Vej, 9210 Aalborg, Aalborg SØ - Stuen;https://www.boligportal.dk/lejligheder/aalborg/48m2-2-vaer-id-5172219
3 værelses lejlighed på 66 m²;5.150;21.950,-;Mølleparkvej, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/66m2-3-vaer-id-4703051
2 værelses lejlighed på 69 m²;5.150;26.573,-;Stationsmestervej, 9200 Aalborg, Aalborg SV - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/69m2-2-vaer-id-5077921
2 værelses lejlighed på 63 m²;5.175;26.475,-;Ivar Huitfeldts Gade, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/63m2-2-vaer-id-2201648
2 værelses lejlighed på 54 m²;5.175;21.250,-;Fredericiagade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/54m2-2-vaer-id-3111530
2 værelses lejlighed på 45 m²;5.180;26.450,-;Forchhammersvej, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/45m2-2-vaer-id-5174591
2 værelses lejlighed på 55 m²;5.181;26.554,-;Østre Havnegade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/55m2-2-vaer-id-5144797
3 værelses lejlighed på 76 m²;5.190;26.350,-;Frederiksgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/76m2-3-vaer-id-4529446
2 værelses lejlighed på 58 m²;5.195;21.280,-;Lindholmssti, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/58m2-2-vaer-id-2962139
2 værelses lejlighed på 60 m²;5.195;21.480,-;Himmerlandsgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/60m2-2-vaer-id-5176683
2 værelses lejlighed på 55 m²;5.195;26.375,-;Løkkegade, 9000 Aalborg, Aalborg - 4. sal;https://www.boligportal.dk/lejligheder/aalborg/55m2-2-vaer-id-5175582
2 værelses lejlighed på 50 m²;5.200;21.000,-;Karnersvej, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/50m2-2-vaer-id-4534596
2 værelses lejlighed på 63 m²;5.200;21.150,-;Læsøgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/63m2-2-vaer-id-5167197
3 værelses lejlighed på 75 m²;5.200;21.550,-;Enggårdsgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/75m2-3-vaer-id-5137361
2 værelses lejlighed på 62 m²;5.200;26.600,-;Kastetvej, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/62m2-2-vaer-id-5097055
2 værelses lejlighed på 68 m²;5.200;26.350,-;Vendsysselgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/68m2-2-vaer-id-5082295
1 værelses lejlighed på 52 m²;5.200;21.200,-;Slotsgade, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/52m2-1-vaer-id-4156931
2 værelses lejlighed på 74 m²;5.200;21.400,-;Prinsessegade, 9400 Aalborg, Nørresundby - Stuen;https://www.boligportal.dk/lejligheder/aalborg/74m2-2-vaer-id-5128556
2 værelses lejlighed på 64 m²;5.210;21.388,-;Gundorfslund, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-4943373
2 værelses lejlighed på 62 m²;5.216;26.580,-;Arkildsdal, 9400 Aalborg, Nørresundby - Stuen;https://www.boligportal.dk/lejligheder/aalborg/62m2-2-vaer-id-5066628
2 værelses lejlighed på 62 m²;5.220;26.400,-;Langelandsgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/62m2-2-vaer-id-5145872
3 værelses lejlighed på 103 m²;5.225;21.400,-;Bonnesensgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/103m2-3-vaer-id-4833207
2 værelses lejlighed på 59 m²;5.249;27.062,-;Christiansgade, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/59m2-2-vaer-id-5172866
3 værelses lejlighed på 82 m²;5.250;27.025,-;Læsøgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/82m2-3-vaer-id-5039119
3 værelses lejlighed på 78 m²;5.250;27.030,-;Løkkegade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/78m2-3-vaer-id-5171835
2 værelses lejlighed på 70 m²;5.257;27.160,-;Stationsmestervej, 9200 Aalborg, Aalborg SV - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/70m2-2-vaer-id-4250295
2 værelses lejlighed på 50 m²;5.275;26.575,-;Teisensvej, 9400 Aalborg, Nørresundby;https://www.boligportal.dk/lejligheder/aalborg/50m2-2-vaer-id-5143159
2 værelses lejlighed på 57 m²;5.275;21.700,-;Fredericiagade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/57m2-2-vaer-id-2513879
2 værelses lejlighed på 50 m²;5.275;26.375,-;Teisensvej, 9400 Aalborg, Nørresundby;https://www.boligportal.dk/lejligheder/aalborg/50m2-2-vaer-id-5158392
3 værelses lejlighed på 70 m²;5.275;21.900,-;Teisensvej, 9400 Aalborg, Nørresundby - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/70m2-3-vaer-id-4847291
2 værelses lejlighed på 81 m²;5.277;27.285,-;Teisensvej, 9400 Aalborg, Nørresundby - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/81m2-2-vaer-id-5044939
2 værelses lejlighed på 63 m²;5.295;21.780,-;Markusgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/63m2-2-vaer-id-5147961
1 værelses lejlighed på 48 m²;5.295;21.780,-;Kridtsløjfen, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/48m2-1-vaer-id-5143277
3 værelses lejlighed på 86 m²;5.295;21.880,-;Christiansgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/86m2-3-vaer-id-5097177
2 værelses lejlighed på 64 m²;5.295;21.480,-;Parkvej, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-5123764
2 værelses lejlighed på 58 m²;5.295;21.780,-;Absalonsgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/58m2-2-vaer-id-5176337
2 værelses lejlighed på 48 m²;5.295;21.680,-;Dannebrogsgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/48m2-2-vaer-id-5174132
2 værelses lejlighed på 63 m²;5.300;27.130,-;Vendelbogade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/63m2-2-vaer-id-3839657
2 værelses lejlighed på 55 m²;5.300;21.525,-;vingårdsgade, 9000 Aalborg, Aalborg - 4. sal;https://www.boligportal.dk/lejligheder/aalborg/55m2-2-vaer-id-5125240
2 værelses lejlighed på 80 m²;5.300;26.500,-;Vestre Alle, 9000 Aalborg, Aalborg - Kælder;https://www.boligportal.dk/lejligheder/aalborg/80m2-2-vaer-id-5169863
2 værelses lejlighed på 74 m²;5.300;21.600,-;Himmerlandsgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/74m2-2-vaer-id-5176303
2 værelses lejlighed på 73 m²;5.315;27.075,-;Østerbro, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/73m2-2-vaer-id-5176132
2 værelses lejlighed på 73 m²;5.315;27.075,-;Østerbro, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/73m2-2-vaer-id-5176133
3 værelses lejlighed på 70 m²;5.324;27.350,-;Teisensvej, 9400 Aalborg, Nørresundby - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/70m2-3-vaer-id-5045020
3 værelses lejlighed på 71 m²;5.325;26.975,-;Digmannsvej, 9400 Aalborg, Nørresundby - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/71m2-3-vaer-id-5143832
2 værelses lejlighed på 64 m²;5.333;32.298,-;Digmannsvej, 9400 Aalborg, Nørresundby - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-2895084
2 værelses lejlighed på 64 m²;5.333;26.965,-;Digmannsvej, 9400 Aalborg, Nørresundby - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-5172770
2 værelses lejlighed på 64 m²;5.333;26.965,-;Digmannsvej, 9400 Aalborg, Nørresundby - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-5151638
2 værelses lejlighed på 61 m²;5.337;27.285,-;Holbergsgade, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/61m2-2-vaer-id-5128663
2 værelses lejlighed på 56 m²;5.338;27.500,-;Istedgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/56m2-2-vaer-id-5074701
2 værelses lejlighed på 65 m²;5.342;21.247,-;Fyrkildevej, 9220 Aalborg, Aalborg Øst - Stuen;https://www.boligportal.dk/lejligheder/aalborg/65m2-2-vaer-id-5176345
2 værelses lejlighed på 66 m²;5.345;22.030,-;Fredericiagade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/66m2-2-vaer-id-4053875
2 værelses lejlighed på 67 m²;5.346;22.084,-;Hobrovej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/67m2-2-vaer-id-4833386
2 værelses lejlighed på 68 m²;5.350;20.900,-;Dannebrogsgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/68m2-2-vaer-id-4394893
3 værelses lejlighed på 72 m²;5.350;38.050,-;Østerbro, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/72m2-3-vaer-id-5174634
2 værelses lejlighed på 68 m²;5.350;20.900,-;Dannebrogsgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/68m2-2-vaer-id-4394893
2 værelses lejlighed på 53 m²;5.350;22.000,-;Færøgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/53m2-2-vaer-id-5049100
1 værelses lejlighed på 50 m²;5.360;21.865,-;Tornhøjvej, 9220 Aalborg, Aalborg Øst - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/50m2-1-vaer-id-5159016
2 værelses lejlighed på 59 m²;5.373;27.366,-;Himmerlandsgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/59m2-2-vaer-id-5165794
2 værelses lejlighed på 81 m²;5.375;22.300,-;Teisensvej, 9400 Aalborg, Nørresundby - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/81m2-2-vaer-id-5137464
3 værelses lejlighed på 74 m²;5.375;22.300,-;Teisensvej, 9400 Aalborg, Nørresundby - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/74m2-3-vaer-id-4762586
3 værelses lejlighed på 80 m²;5.380;22.020,-;Schleppegrellsgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/80m2-3-vaer-id-5142460
2 værelses lejlighed på 71 m²;5.388;27.835,-;Østerbro, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/71m2-2-vaer-id-5165797
2 værelses lejlighed på 64 m²;5.391;21.549,-;Gundorfslund, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-5081429
2 værelses lejlighed på 62 m²;5.395;22.180,-;Danmarksgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/62m2-2-vaer-id-5068212
1 værelses lejlighed på 46 m²;5.395;22.180,-;Kridtsløjfen, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/46m2-1-vaer-id-5143271
2 værelses lejlighed på 71 m²;5.400;27.550,-;Østre Alle, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/71m2-2-vaer-id-4027408
2 værelses lejlighed på 69 m²;5.400;22.150,-;Himmerlandsgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/69m2-2-vaer-id-4809441
2 værelses lejlighed på 45 m²;5.400;33.000,-;Christiansgade, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/45m2-2-vaer-id-3831217
3 værelses lejlighed på 81 m²;5.400;28.100,-;Teisensvej, 9400 Aalborg, Nørresundby - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/81m2-3-vaer-id-5045416
2 værelses lejlighed på 57 m²;5.400;27.350,-;Vingårdsgade, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/57m2-2-vaer-id-5056029
3 værelses lejlighed på 74 m²;5.400;22.200,-;Svendsgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/74m2-3-vaer-id-5170154
2 værelses lejlighed på 74 m²;5.400;27.400,-;Læsøgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/74m2-2-vaer-id-5175073
2 værelses lejlighed på 68 m²;5.400;22.150,-;Himmerlandsgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/68m2-2-vaer-id-4154590
2 værelses lejlighed på 59 m²;5.400;22.150,-;Østerbro, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/59m2-2-vaer-id-3790507
2 værelses lejlighed på 69 m²;5.400;22.150,-;Himmerlandsgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/69m2-2-vaer-id-4809441
4 værelses lejlighed på 91 m²;5.416;23.350,-;Umanakvej,, 9210 Aalborg, Aalborg SØ - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/91m2-4-vaer-id-5174074
2 værelses lejlighed på 63 m²;5.423;27.825,-;Istedgade, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/63m2-2-vaer-id-4635992
2 værelses lejlighed på 64 m²;5.426;21.172,-;Gundorfslund, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-5081409
3 værelses lejlighed på 83 m²;5.429;28.495,-;Teisensvej, 9400 Aalborg, Nørresundby - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/83m2-3-vaer-id-5044634
2 værelses lejlighed på 68 m²;5.435;27.855,-;Ny Kastetvej, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/68m2-2-vaer-id-5176463
2 værelses lejlighed på 64 m²;5.440;21.186,-;Gundorfslund, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-4699170
2 værelses lejlighed på 66 m²;5.450;27.850,-;Herluf Trolles Gade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/66m2-2-vaer-id-5171880
2 værelses lejlighed på 70 m²;5.450;22.450,-;Vesterbro, 9000 Aalborg, Aalborg - 4. sal;https://www.boligportal.dk/lejligheder/aalborg/70m2-2-vaer-id-3849429
2 værelses lejlighed på 66 m²;5.450;22.300,-;Steen Blichers Gade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/66m2-2-vaer-id-4116838
2 værelses lejlighed på 66 m²;5.450;27.800,-;Sjællandsgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/66m2-2-vaer-id-5157112
2 værelses lejlighed på 69 m²;5.450;27.800,-;Ane Dams Gade, 9400 Aalborg, Nørresundby - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/69m2-2-vaer-id-5168287
2 værelses lejlighed på 65 m²;5.461;27.855,-;Sjællandsgade, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/65m2-2-vaer-id-5106312
2 værelses lejlighed på 77 m²;5.466;20.678,-;Grønlands Torv,, 9210 Aalborg, Aalborg SØ - 5. sal;https://www.boligportal.dk/lejligheder/aalborg/77m2-2-vaer-id-5172755
3 værelses lejlighed på 75 m²;5.466;28.231,-;Østre Havnegade, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/75m2-3-vaer-id-4429564
2 værelses lejlighed på 65 m²;5.471;28.205,-;Vesterbro, 9000 Aalborg, Aalborg - 5. sal;https://www.boligportal.dk/lejligheder/aalborg/65m2-2-vaer-id-5165917
3 værelses lejlighed på 83 m²;5.475;22.700,-;Teisensvej, 9400 Aalborg, Nørresundby - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/83m2-3-vaer-id-5089969
3 værelses lejlighed på 81 m²;5.475;22.700,-;Teisensvej, 9400 Aalborg, Nørresundby - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/81m2-3-vaer-id-5150751
3 værelses lejlighed på 70 m²;5.475;27.900,-;Søvangen, 9400 Aalborg, Nørresundby;https://www.boligportal.dk/lejligheder/aalborg/70m2-3-vaer-id-2542582
3 værelses lejlighed på 84 m²;5.478;26.469,-;Sebbersundvej,, 9220 Aalborg, Aalborg Øst - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/84m2-3-vaer-id-5172494
2 værelses lejlighed på 65 m²;5.485;22.690,-;Langelandsgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/65m2-2-vaer-id-5052987
2 værelses lejlighed på 65 m²;5.490;16.980,-;Hobrovej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/65m2-2-vaer-id-4684273
2 værelses lejlighed på 62 m²;5.490;27.750,-;Valdemarsgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/62m2-2-vaer-id-4152414
2 værelses lejlighed på 49 m²;5.494;22.536,-;Fyensgade, 9000 Aalborg, Aalborg - 4. sal;https://www.boligportal.dk/lejligheder/aalborg/49m2-2-vaer-id-5160267
2 værelses lejlighed på 60 m²;5.495;22.480,-;Fredensgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/60m2-2-vaer-id-5051644
2 værelses lejlighed på 63 m²;5.495;22.580,-;Schleppegrellsgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/63m2-2-vaer-id-3938787
2 værelses lejlighed på 71 m²;5.495;22.380,-;Sønderbro, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/71m2-2-vaer-id-4230644
2 værelses lejlighed på 48 m²;5.495;22.530,-;Brettevillesgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/48m2-2-vaer-id-5167910
2 værelses lejlighed på 66 m²;5.495;27.950,-;Vendelbogade, 9000 Aalborg, Aalborg - 4. sal;https://www.boligportal.dk/lejligheder/aalborg/66m2-2-vaer-id-5135007
2 værelses lejlighed på 70 m²;5.495;28.075,-;Vesterbro, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/70m2-2-vaer-id-5165856
2 værelses lejlighed på 58 m²;5.495;22.480,-;Kastetvej, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/58m2-2-vaer-id-5138945
2 værelses lejlighed på 68 m²;5.495;22.480,-;Borgmestervænget, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/68m2-2-vaer-id-5099878
1 værelses lejlighed på 43 m²;5.495;22.580,-;Kridtsløjfen, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/43m2-1-vaer-id-5143259
2 værelses lejlighed på 63 m²;5.495;22.680,-;Vendelbogade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/63m2-2-vaer-id-5174311
2 værelses lejlighed på 64 m²;5.495;27.960,-;Løkkegade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-5034918
2 værelses lejlighed på 60 m²;5.495;22.480,-;Fredensgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/60m2-2-vaer-id-5051644
2 værelses lejlighed på 66 m²;5.495;27.950,-;Vendelbogade, 9000 Aalborg, Aalborg - 4. sal;https://www.boligportal.dk/lejligheder/aalborg/66m2-2-vaer-id-5135007
3 værelses lejlighed på 75 m²;5.497;28.236,-;Vendsysselgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/75m2-3-vaer-id-5165830
2 værelses lejlighed på 45 m²;5.500;28.200,-;Marshalls Alle, 9220 Aalborg, Aalborg Øst - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/45m2-2-vaer-id-5052515
2 værelses lejlighed på 55 m²;5.500;28.050,-;Danmarksgade, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/55m2-2-vaer-id-3554749
2 værelses lejlighed på 71 m²;5.500;23.784,-;Gugvej, 9210 Aalborg, Aalborg SØ;https://www.boligportal.dk/lejligheder/aalborg/71m2-2-vaer-id-5143223
2 værelses lejlighed på 56 m²;5.500;28.250,-;Dannebrogsgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/56m2-2-vaer-id-5174346
3 værelses lejlighed på 74 m²;5.500;17.100,-;Sankt Peders Gade, 9400 Aalborg, Nørresundby - Stuen;https://www.boligportal.dk/lejligheder/aalborg/74m2-3-vaer-id-4915699
3 værelses lejlighed på 77 m²;5.500;22.700,-;Signalvej, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/77m2-3-vaer-id-3546461
2 værelses lejlighed på 58 m²;5.500;22.600,-;Fyensgade, 9000 Aalborg, Aalborg - 4. sal;https://www.boligportal.dk/lejligheder/aalborg/58m2-2-vaer-id-5058695
3 værelses lejlighed på 77 m²;5.500;22.800,-;Signalvej, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/77m2-3-vaer-id-1947828
2 værelses lejlighed på 47 m²;5.500;28.200,-;Marshalls Alle, 9220 Aalborg, Aalborg Øst - Stuen;https://www.boligportal.dk/lejligheder/aalborg/47m2-2-vaer-id-5134077
3 værelses lejlighed på 63 m²;5.500;22.600,-;Danmarksgade, 9000 Aalborg, Aalborg - 4. sal;https://www.boligportal.dk/lejligheder/aalborg/63m2-3-vaer-id-5165255
2 værelses lejlighed på 58 m²;5.500;28.250,-;Dannebrogsgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/58m2-2-vaer-id-5141382
2 værelses lejlighed på 47 m²;5.500;28.200,-;Marshalls Alle, 9220 Aalborg, Aalborg Øst - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/47m2-2-vaer-id-5087179
2 værelses lejlighed på 58 m²;5.500;28.250,-;Dannebrogsgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/58m2-2-vaer-id-5141387
2 værelses lejlighed på 58 m²;5.500;22.500,-;Fyensgade, 9000 Aalborg, Aalborg - 4. sal;https://www.boligportal.dk/lejligheder/aalborg/58m2-2-vaer-id-4134209
2 værelses lejlighed på 45 m²;5.500;28.200,-;Marshalls Alle, 9220 Aalborg, Aalborg Øst - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/45m2-2-vaer-id-5052515
3 værelses lejlighed på 74 m²;5.500;17.100,-;Sankt Peders Gade, 9400 Aalborg, Nørresundby - Stuen;https://www.boligportal.dk/lejligheder/aalborg/74m2-3-vaer-id-4915699
2 værelses lejlighed på 75 m²;5.512;28.560,-;Vesterbro, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/75m2-2-vaer-id-5098997
2 værelses lejlighed på 71 m²;5.528;28.413,-;Stationsmestervej, 9200 Aalborg, Aalborg SV - Stuen;https://www.boligportal.dk/lejligheder/aalborg/71m2-2-vaer-id-5078470
2 værelses lejlighed på 61 m²;5.535;22.505,-;Kapelvej, 9400 Aalborg, Nørresundby - Stuen;https://www.boligportal.dk/lejligheder/aalborg/61m2-2-vaer-id-472181
2 værelses lejlighed på 57 m²;5.544;29.109,-;Stationsmestervej, 9200 Aalborg, Aalborg SV - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/57m2-2-vaer-id-4822229
2 værelses lejlighed på 66 m²;5.545;22.880,-;Christiansgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/66m2-2-vaer-id-4217256
2 værelses lejlighed på 90 m²;5.550;22.850,-;Dannebrogsgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/90m2-2-vaer-id-5045239
2 værelses lejlighed på 78 m²;5.550;28.350,-;Ladegårdsgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/78m2-2-vaer-id-5044839
