Type;Rent;Move in price;Address;Link
1 værelses lejlighed på 130 m²;3.300;16.500,-;Urbansgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/130m2-1-vaer-id-4858262
1 værelses lejlighed på 40 m²;3.321;13.555,-;Myrdalstræde, 9220 Aalborg, Aalborg Øst;https://www.boligportal.dk/lejligheder/aalborg/40m2-1-vaer-id-385101
2 værelses lejlighed på 39 m²;3.400;17.600,-;Dronningens Tværgade, 9400 Aalborg, Nørresundby;https://www.boligportal.dk/lejligheder/aalborg/39m2-2-vaer-id-5174807
2 værelses lejlighed på 49 m²;3.401;13.939,-;Brandevej, 9220 Aalborg, Aalborg Øst;https://www.boligportal.dk/lejligheder/aalborg/49m2-2-vaer-id-4490796
1 værelses lejlighed på 43 m²;3.407;14.203,-;Langagervej, 9220 Aalborg, Aalborg Øst - Stuen;https://www.boligportal.dk/lejligheder/aalborg/43m2-1-vaer-id-1412856
1 værelses lejlighed på 42 m²;3.412;22.074,-;Hadsundvej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/42m2-1-vaer-id-5171288
1 værelses lejlighed på 41 m²;3.416;14.227,-;Gundorfslund, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/41m2-1-vaer-id-4661986
1 værelses lejlighed på 48 m²;3.418;15.638,-;Vestergade, 9400 Aalborg, Nørresundby - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/48m2-1-vaer-id-5160017
1 værelses lejlighed på 37 m²;3.500;10.500,-;Stormgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/37m2-1-vaer-id-5174914
2 værelses lejlighed på 50 m²;3.500;18.400,-;Valdemarsgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/50m2-2-vaer-id-4180787
2 værelses lejlighed på 41 m²;3.500;18.000,-;Poul Paghs Gade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/41m2-2-vaer-id-5174300
2 værelses lejlighed på 37 m²;3.534;16.384,-;Brandevej, 9220 Aalborg, Aalborg Øst - Stuen;https://www.boligportal.dk/lejligheder/aalborg/37m2-2-vaer-id-5176447
2 værelses lejlighed på 37 m²;3.534;16.384,-;Brandevej, 9220 Aalborg, Aalborg Øst - Stuen;https://www.boligportal.dk/lejligheder/aalborg/37m2-2-vaer-id-5160351
1 værelses lejlighed på 48 m²;3.572;15.590,-;Umanakvej,, 9210 Aalborg, Aalborg SØ - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/48m2-1-vaer-id-5174027
2 værelses lejlighed på 46 m²;3.573;14.562,-;Myrdalstræde, 9220 Aalborg, Aalborg Øst - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/46m2-2-vaer-id-5138187
2 værelses lejlighed på 50 m²;3.575;26.580,-;Lindholm Brygge, 9400 Aalborg, Nørresundby - 6. sal;https://www.boligportal.dk/lejligheder/aalborg/50m2-2-vaer-id-5176697
1 værelses lejlighed på 35 m²;3.595;18.375,-;Stuhrs Brygge, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/35m2-1-vaer-id-5174313
