Type;Rent;Move in price;Address;Link
2 room apartment of 77 m²;14.500;73.730,-;Thorshavnsgade, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/77m2-2-room-id-4371339;
3 room apartment of 88 m²;13.550;68.400,-;Axel Strøbyes Vej, 2500 København, Valby - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/88m2-3-room-id-5229452;
3 room apartment of 83 m²;12.095;61.319,-;Trekronergade, 2500 København, Valby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/83m2-3-room-id-5229402;
3 room apartment of 90 m²;13.800;63.700,-;Nordre Frihavnsgade, 2100 København, København Ø - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/90m2-3-room-id-1280193;
2 room apartment of 67 m²;13.200;66.750,-;Marskensgade, 2100 København, København Ø - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/67m2-2-room-id-5229304;
2 room apartment of 77 m²;11.600;47.300,-;Robert Jacobsens Vej, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/77m2-2-room-id-5229302;
4 room apartment of 92 m²;14.000;57.100,-;Robert Jacobsens Vej, 2300 København, København S - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/92m2-4-room-id-5229301;
2 room apartment of 72 m²;13.400;67.750,-;Marskensgade, 2100 København, København Ø - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/72m2-2-room-id-4910013;
2 room apartment of 52 m²;10.800;49.650,-;Søndre Fasanvej, 2500 København, Valby - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/52m2-2-room-id-5229297;
2 room apartment of 58 m²;11.400;57.600,-;Nadine Gordimers Vej, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/58m2-2-room-id-5229274;
3 room apartment of 94 m²;13.195;67.075,-;C.F. Møllers Allé, 2300 København, København S - 6th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/94m2-3-room-id-5229269;
2 room apartment of 67 m²;11.000;44.790,-;Hamletsgade, 2200 København, København N - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/67m2-2-room-id-4298721;
2 room apartment of 61 m²;13.000;78.500,-;Willy Brandts Vej, 2450 København, København Sv - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/61m2-2-room-id-4410968;
3 room apartment of 101 m²;14.500;58.810,-;Robert Jacobsens Vej, 2300 København, København S - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/101m2-3-room-id-4317532;
2 room apartment of 62 m²;12.500;51.000,-;Flaskegade, 1799 København, København V - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/62m2-2-room-id-5216172;
2 room apartment of 54 m²;10.650;53.800,-;Doris Lessings Vej, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/54m2-2-room-id-5228163;
3 room apartment of 64 m²;13.300;67.200,-;Njalsgade, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/64m2-3-room-id-5229226;
3 room apartment of 69 m²;12.200;49.450,-;Else Alfelts Vej, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/69m2-3-room-id-5229225;
4 room apartment of 113 m²;13.331;81.219,-;Paradisæblevej, 2500 København, Valby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/113m2-4-room-id-5180460;
4 room apartment of 98 m²;13.325;81.017,-;Taffelæblevej, 2500 København, Valby - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/98m2-4-room-id-5229213;
4 room apartment of 88 m²;12.551;76.264,-;James Grievevej, 2500 København, Valby - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/88m2-4-room-id-5229211;
2 room apartment of 104 m²;13.300;67.600,-;Amager Strandvej, 2300 København, København S - 8th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/104m2-2-room-id-5229200;
4 room apartment of 87 m²;13.450;68.200,-;Gertrude Steins Vej, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/87m2-4-room-id-5229171;
2 room apartment of 76 m²;11.700;59.324,-;Ørestads Boulevard, 2300 København, København S - 8th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/76m2-2-room-id-5229128;
2 room apartment of 58 m²;9.500;38.500,-;Amagerbrogade, 2300 København, København S;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/58m2-2-room-id-4953804;
2 room apartment of 67 m²;11.900;48.090,-;Else Alfelts Vej, 2300 København, København S - 7th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/67m2-2-room-id-5228988;
2 room apartment of 75 m²;12.000;48.813,-;Otto Brandenburgs Vej, 2450 København, København SV - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/75m2-2-room-id-5228984;
3 room apartment of 78 m²;12.695;64.325,-;Dieselvej, 2450 København, København SV - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/78m2-3-room-id-5215221;
2 room apartment of 72 m²;11.000;55.780,-;Asger Jorns Allé, 2300 København, København S - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/72m2-2-room-id-5228956;
4 room apartment of 101 m²;13.981;71.030,-;Richard Mortensens V, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/101m2-4-room-id-5228943;
4 room apartment of 113 m²;13.195;67.225,-;Ørestads Boulevard, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/113m2-4-room-id-5228909;
2 room apartment of 88 m²;10.300;73.327,-;Mimersgade, 2200 København, København N - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/88m2-2-room-id-5228861;
3 room apartment of 71 m²;11.000;55.700,-;Kløverbladsgade, 2500 København, Valby - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/71m2-3-room-id-5228742;
2 room apartment of 100 m²;10.422;51.382,-;Hans Knudsens Plads, 2100 København, København Ø - 10th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/100m2-2-room-id-5197754;
2 room apartment of 75 m²;12.500;62.650,-;Poul Bundgaards Vej, 2500 København, Valby - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/75m2-2-room-id-5228644;
3 room apartment of 95 m²;13.300;67.490,-;Gråspurvevej, 2400 København, København NV - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/95m2-3-room-id-5228598;
2 room apartment of 80 m²;11.600;58.790,-;Tove Maës Vej, 2500 København, Valby - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/80m2-2-room-id-5228580;
3 room apartment of 90 m²;12.600;63.990,-;Gråspurvevej, 2400 København, København NV - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/90m2-3-room-id-5228579;
3 room apartment of 91 m²;12.740;64.900,-;Ørnevej, 2400 København, København NV - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/91m2-3-room-id-5228568;
3 room apartment of 91 m²;13.600;69.000,-;Ben Websters Vej, 2450 København, København SV - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/91m2-3-room-id-5228542;
3 room apartment of 101 m²;14.695;74.575,-;Krimsvej, 2300 København, København S - 10th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/101m2-3-room-id-5228528;
3 room apartment of 84 m²;12.995;65.925,-;Valby Maskinfabriksvej, 2500 København, Valby - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/84m2-3-room-id-5228527;
3 room apartment of 99 m²;12.895;65.506,-;C.F. Møllers Allé, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/99m2-3-room-id-5228525;
4 room apartment of 110 m²;14.395;73.175,-;Tove Maës Vej, 2500 København, Valby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/110m2-4-room-id-5222620;
3 room apartment of 87 m²;12.395;62.925,-;Ingrid Marievej, 2500 København, Valby - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/87m2-3-room-id-5228492;
4 room apartment of 97 m²;13.695;71.925,-;Kløverbladsgade, 2500 København, Valby - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/97m2-4-room-id-5222663;
3 room apartment of 97 m²;14.400;74.100,-;Borgmestervangen, 2200 København, København N - 23rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/97m2-3-room-id-5228450;
3 room apartment of 90 m²;14.400;72.900,-;Ved Amagerbanen, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/90m2-3-room-id-5228446;
3 room apartment of 72 m²;12.295;59.275,-;Faste Batteri Vej, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/72m2-3-room-id-5227231;
2 room apartment of 68 m²;11.695;59.275,-;Faste Batteri Vej, 2300 København, København S - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/68m2-2-room-id-5228441;
2 room apartment of 52 m²;12.000;36.000,-;Hedebygade, 1754 København, København V - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/52m2-2-room-id-4886084;
4 room apartment of 66 m²;13.395;54.280,-;Robert Jacobsens Vej, 2300 København, København S - 7th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/66m2-4-room-id-5228260;
3 room apartment of 66 m²;11.995;48.680,-;Robert Jacobsens Vej, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/66m2-3-room-id-5228259;
3 room apartment of 108 m²;14.045;71.440,-;Frederikskaj, 2450 København, København Sv - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/108m2-3-room-id-4955241;
3 room apartment of 70 m²;12.200;61.750,-;Else Alfelts Vej, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/70m2-3-room-id-5228222;
4 room apartment of 97 m²;13.900;70.450,-;Nadine Gordimers Vej, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/97m2-4-room-id-5224664;
3 room apartment of 92 m²;12.995;65.975,-;Dieselvej, 2450 København, København SV - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/92m2-3-room-id-5210570;
3 room apartment of 94 m²;12.690;64.400,-;Gråspurvevej, 2400 København, København NV - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/94m2-3-room-id-5228170;
2 room apartment of 54 m²;10.650;53.800,-;Nadine Gordimers Vej, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/54m2-2-room-id-5228162;
2 room apartment of 79 m²;11.060;56.200,-;Gråspurvevej, 2400 København, København NV - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/79m2-2-room-id-5228146;
3 room apartment of 95 m²;14.646;59.659,-;Bisiddervej, 2400 København, København Nv - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/95m2-3-room-id-4489352;
2 room apartment of 81 m²;11.695;59.375,-;Gl. Køge Landevej, 2500 København, Valby - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/81m2-2-room-id-5219986;
3 room apartment of 94 m²;14.000;71.000,-;Tingvej, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/94m2-3-room-id-5228025;
2 room apartment of 70 m²;8.750;44.350,-;Dortheavej, 2400 København, København NV - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/70m2-2-room-id-5228013;
2 room apartment of 52 m²;8.500;34.000,-;Ungarnsgade, 2300 København, København S - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/52m2-2-room-id-5227989;
