Type;Rent;Move in price;Address;Link
3 room apartment of 87 m²;14.800;59.800,-;Wesselsgade, 2200 København, København N - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/87m2-3-room-id-5023445;
3 room apartment of 80 m²;12.800;52.000,-;Mosedalvej, 2500 København, Valby - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/80m2-3-room-id-4491954;
2 room house of 76 m²;12.500;50.962,-;Lemnosvej, 2300 København, København S;https://www.boligportal.dk/en/rental-houses/k%C3%B8benhavn/76m2-2-room-id-5221007;
3 room apartment of 91 m²;13.095;66.475,-;Cylindervej, 2450 København, København SV - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/91m2-3-room-id-5222072;
3 room apartment of 99 m²;13.195;67.075,-;C.F. Møllers Allé, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/99m2-3-room-id-5221435;
4 room apartment of 106 m²;14.000;71.150,-;Amager Strandvej, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/106m2-4-room-id-5220748;
3 room apartment of 100 m²;13.495;68.575,-;Sluseholmen, 2450 København, København SV - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/100m2-3-room-id-5221357;
3 room apartment of 99 m²;13.395;68.075,-;C.F. Møllers Allé, 2300 København, København S - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/99m2-3-room-id-5213922;
4 room apartment of 94 m²;13.395;68.025,-;Dieselvej, 2450 København, København SV - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/94m2-4-room-id-5213846;
4 room apartment of 99 m²;14.395;73.075,-;Krimsvej, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/99m2-4-room-id-5215220;
4 room apartment of 106 m²;14.200;72.150,-;Amager Strandvej, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/106m2-4-room-id-5220026;
3 room apartment of 98 m²;13.295;67.575,-;Cylindervej, 2450 København, København SV - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/98m2-3-room-id-5212536;
4 room apartment of 93 m²;13.195;66.975,-;Ejler Billes Allé, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/93m2-4-room-id-5201791;
4 room apartment of 97 m²;13.095;66.525,-;Ejler Billes Allé, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/97m2-4-room-id-5201496;
4 room apartment of 91 m²;13.995;70.975,-;Clara Pontoppidans Vej, 2500 København, Valby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/91m2-4-room-id-5197634;
4 room apartment of 94 m²;13.295;67.525,-;Dieselvej, 2450 København, København SV - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/94m2-4-room-id-5196985;
4 room apartment of 101 m²;14.195;72.075,-;Dieselvej, 2450 København, København SV - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/101m2-4-room-id-5191499;
4 room apartment of 97 m²;13.895;70.525,-;Ejler Billes Allé, 2300 København, København S - 6th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/97m2-4-room-id-5185561;
3 room apartment of 87 m²;12.695;64.425,-;C.F. Møllers Allé, 2300 København, København S - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/87m2-3-room-id-5186022;
4 room apartment of 102 m²;13.295;67.575,-;Ejler Billes Allé, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/102m2-4-room-id-5185525;
4 room apartment of 101 m²;14.395;73.075,-;Cylindervej, 2450 København, København SV - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/101m2-4-room-id-5185510;
4 room apartment of 101 m²;14.195;72.075,-;Ingrid Marievej, 2500 København, Valby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/101m2-4-room-id-5185413;
4 room apartment of 101 m²;14.195;72.075,-;Dieselvej, 2450 København, København SV - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/101m2-4-room-id-5195373;
4 room apartment of 93 m²;13.095;66.475,-;Ejler Billes Allé, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/93m2-4-room-id-5185813;
4 room apartment of 100 m²;14.695;74.575,-;Cylindervej, 2450 København, København SV - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/100m2-4-room-id-5206101;
4 room apartment of 102 m²;13.395;68.075,-;Ejler Billes Allé, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/102m2-4-room-id-5185276;
3 room apartment of 100 m²;14.000;56.000,-;Peder Lykkes Vej, 2300 København, København S;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/100m2-3-room-id-5226082;
2 room apartment of 57 m²;12.500;38.050,-;Nyborggade, 2100 København, København Ø - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/57m2-2-room-id-4932613;
2 room apartment of 64 m²;10.800;43.700,-;Kattesundet, 1458 København, København K - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/64m2-2-room-id-4847620;
2 room apartment of 62 m²;10.600;53.250,-;Søndre Fasanvej, 2500 København, Valby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/62m2-2-room-id-5219084;
3 room apartment of 84 m²;13.650;55.510,-;Otto Brandenburgs Vej, 2450 København, København SV - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/84m2-3-room-id-4901622;
2 room apartment of 79 m²;14.300;72.180,-;Dirch Passers Allé, 2000 København, Frederiksberg - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/79m2-2-room-id-5225519;
2 room apartment of 89 m²;13.600;55.300,-;Strandlodsvej, 2300 København, København S - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/89m2-2-room-id-4405568;
2 room apartment of 78 m²;14.200;71.680,-;Dirch Passers Allé, 2000 København, Frederiksberg - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/78m2-2-room-id-5225515;
2 room apartment of 82 m²;14.700;74.200,-;Dirch Passers Allé, 2000 København, Frederiksberg - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/82m2-2-room-id-5225463;
2 room apartment of 83 m²;14.200;71.700,-;Dirch Passers Allé, 2000 København, Frederiksberg - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/83m2-2-room-id-5225456;
2 room apartment of 81 m²;14.600;73.700,-;Dirch Passers Allé, 2000 København, Frederiksberg - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/81m2-2-room-id-5225455;
3 room apartment of 94 m²;13.950;84.960,-;Axel Heides Gade, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/94m2-3-room-id-5225449;
3 room apartment of 71 m²;12.200;49.574,-;Else Alfelts Vej, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/71m2-3-room-id-5225435;
3 room apartment of 71 m²;12.400;50.369,-;Else Alfelts Vej, 2300 København, København S - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/71m2-3-room-id-5019859;
4 room apartment of 105 m²;13.400;54.738,-;Else Alfelts Vej, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/105m2-4-room-id-5225416;
4 room apartment of 109 m²;13.850;56.581,-;Else Alfelts Vej, 2300 København, København S - 6th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/109m2-4-room-id-4342725;
3 room apartment of 90 m²;13.995;70.775,-;Amager Strandvej, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/90m2-3-room-id-4107418;
4 room apartment of 97 m²;13.750;56.051,-;Else Alfelts Vej, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/97m2-4-room-id-5201905;
3 room apartment of 85 m²;13.990;70.650,-;Lindgreens Allé, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/85m2-3-room-id-5225296;
2 room apartment of 68 m²;11.990;60.550,-;Lindgreens Allé, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/68m2-2-room-id-5225294;
3 room apartment of 85 m²;13.990;70.650,-;Lindgreens Allé, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/85m2-3-room-id-5225292;
3 room apartment of 83 m²;13.990;70.650,-;Lindgreens Allé, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/83m2-3-room-id-5225287;
3 room apartment of 83 m²;13.990;70.650,-;Lindgreens Allé, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/83m2-3-room-id-5225286;
2 room apartment of 70 m²;11.990;60.550,-;Lindgreens Allé, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/70m2-2-room-id-5225285;
3 room apartment of 88 m²;14.190;71.650,-;Lindgreens Allé, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/88m2-3-room-id-5225284;
2 room apartment of 52 m²;5.500;20.500,-;Vanløse Allé, 2720 Vanløse - 2nd floor;https://www.boligportal.dk/en/rental-apartments/vanl%C3%B8se/52m2-2-room-id-5229280;
3 room apartment of 96 m²;13.700;83.100,-;Ålekistevej, 2720 Vanløse - 2nd floor;https://www.boligportal.dk/en/rental-apartments/vanl%C3%B8se/96m2-3-room-id-5227373;
3 room apartment of 74 m²;10.684;75.588,-;Ålekistevej, 2720 Vanløse - 2nd floor;https://www.boligportal.dk/en/rental-apartments/vanl%C3%B8se/74m2-3-room-id-5226994;
3 room apartment of 74 m²;10.684;75.588,-;Ålekistevej, 2720 Vanløse - Ground floor;https://www.boligportal.dk/en/rental-apartments/vanl%C3%B8se/74m2-3-room-id-5226970;
2 room apartment of 75 m²;11.500;47.000,-;Thyvej, 2720 Vanløse;https://www.boligportal.dk/en/rental-apartments/vanl%C3%B8se/75m2-2-room-id-5212369;
3 room apartment of 76 m²;13.200;67.000,-;Vanløse Torv, 2720 Vanløse - 4th floor;https://www.boligportal.dk/en/rental-apartments/vanl%C3%B8se/76m2-3-room-id-5212212;
3 room apartment of 80 m²;10.799;65.694,-;Grøndals Parkvej , 2720 Vanløse - 1st floor;https://www.boligportal.dk/en/rental-apartments/vanl%C3%B8se/80m2-3-room-id-5210001;
3 room apartment of 111 m²;13.500;68.580,-;Indertoften, 2720 Vanløse - 1st floor;https://www.boligportal.dk/en/rental-apartments/vanl%C3%B8se/111m2-3-room-id-5200925;
2 room apartment of 50 m²;11.260;79.520,-;Vanløse Allé, 2720 Vanløse - 3rd floor;https://www.boligportal.dk/en/rental-apartments/vanl%C3%B8se/50m2-2-room-id-5199839;
3 room apartment of 99 m²;7.000;21.000,-;Jægersborg Alle, 2820 Gentofte - 2nd floor;https://www.boligportal.dk/en/rental-apartments/gentofte/99m2-3-room-id-5229442;
2 room apartment of 52 m²;9.900;40.295,-;Gentoftegade, 2820 Gentofte;https://www.boligportal.dk/en/rental-apartments/gentofte/52m2-2-room-id-4865533;
2 room apartment of 50 m²;9.500;38.500,-;Ericavej, 2820 Gentofte;https://www.boligportal.dk/en/rental-apartments/gentofte/50m2-2-room-id-5220755;
2 room apartment of 63 m²;9.900;40.200,-;Smakkegårdsvej, 2820 Gentofte - 1st floor;https://www.boligportal.dk/en/rental-apartments/gentofte/63m2-2-room-id-5227236;
3 room apartment of 67 m²;11.900;48.400,-;Søgårdsvej, 2820 Gentofte - Ground floor;https://www.boligportal.dk/en/rental-apartments/gentofte/67m2-3-room-id-5225779;
4 room apartment of 102 m²;13.446;95.322,-;Ericaparken, 2820 Gentofte - Ground floor;https://www.boligportal.dk/en/rental-apartments/gentofte/102m2-4-room-id-5220589;
3 room apartment of 70 m²;11.900;48.640,-;Tværbommen, 2820 Gentofte - Ground floor;https://www.boligportal.dk/en/rental-apartments/gentofte/70m2-3-room-id-5107319;
2 room apartment of 51 m²;8.300;33.600,-;Christianehøj, 2860 Søborg - Ground floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/51m2-2-room-id-5226558;
4 room apartment of 97 m²;12.500;63.500,-;Gyngemose Parkvej, 2860 Søborg - 3rd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/97m2-4-room-id-5229336;
3 room apartment of 74 m²;11.900;60.500,-;Gyngemose Parkvej, 2860 Søborg - 2nd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/74m2-3-room-id-4977712;
3 room apartment of 103 m²;13.600;68.800,-;Søborg Hovedgade, 2860 Søborg - 3rd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/103m2-3-room-id-4410907;
4 room apartment of 98 m²;14.700;74.300,-;Gyngemose Parkvej, 2860 Søborg - 4th floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/98m2-4-room-id-5228634;
4 room apartment of 100 m²;12.550;63.850,-;Gyngemose Parkvej, 2860 Søborg - 5th floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/100m2-4-room-id-5228559;
4 room apartment of 99 m²;12.600;64.000,-;Gyngemose Parkvej, 2860 Søborg - 2nd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/99m2-4-room-id-5228558;
4 room apartment of 97 m²;12.550;63.850,-;Gyngemose Parkvej, 2860 Søborg - 5th floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/97m2-4-room-id-5196984;
4 room apartment of 101 m²;12.600;64.100,-;Gyngemose Parkvej, 2860 Søborg - 5th floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/101m2-4-room-id-5194082;
4 room apartment of 97 m²;12.700;64.500,-;Gyngemose Parkvej, 2860 Søborg - 4th floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/97m2-4-room-id-5228544;
4 room apartment of 96 m²;12.000;60.950,-;Gyngemose Parkvej, 2860 Søborg - 3rd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/96m2-4-room-id-5228173;
2 room apartment of 88 m²;11.900;48.200,-;Søborg Hovedgade, 2860 Søborg - 3rd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/88m2-2-room-id-4028704;
3 room apartment of 108 m²;12.650;51.770,-;Gladsaxevej, 2860 Søborg - 3rd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/108m2-3-room-id-4532891;
3 room apartment of 108 m²;12.450;50.970,-;Gladsaxevej, 2860 Søborg - 2nd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/108m2-3-room-id-4532863;
3 room apartment of 102 m²;13.400;95.150,-;Søborg Hovedgade, 2860 Søborg - 2nd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/102m2-3-room-id-5225021;
3 room apartment of 98 m²;14.700;74.300,-;Gyngemose Parkvej, 2860 Søborg - 6th floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/98m2-3-room-id-5224769;
3 room apartment of 98 m²;14.575;73.675,-;Gyngemose Parkvej, 2860 Søborg - 6th floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/98m2-3-room-id-5223392;
3 room apartment of 104 m²;13.500;95.300,-;Søborg Hovedgade, 2860 Søborg - 3rd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/104m2-3-room-id-4988383;
4 room apartment of 102 m²;13.800;70.000,-;Gyngemose Parkvej, 2860 Søborg - Ground floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/102m2-4-room-id-5221537;
4 room apartment of 96 m²;12.000;60.900,-;Gyngemose Parkvej, 2860 Søborg - 4th floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/96m2-4-room-id-5221157;
3 room apartment of 119 m²;14.400;58.889,-;Gladsaxevej, 2860 Søborg - 4th floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/119m2-3-room-id-4274483;
2 room apartment of 80 m²;11.600;47.266,-;Gladsaxevej, 2860 Søborg - 6th floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/80m2-2-room-id-4532885;
2 room apartment of 78 m²;11.300;57.345,-;Gladsaxevej, 2860 Søborg - 3rd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/78m2-2-room-id-4531361;
2 room apartment of 62 m²;3.883;27.681,-;Søborg Hovedgade, 2860 Søborg - 3rd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/62m2-2-room-id-5219221;
3 room apartment of 108 m²;13.200;53.970,-;Gladsaxevej, 2860 Søborg - 7th floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/108m2-3-room-id-4532860;
3 room apartment of 86 m²;14.450;87.500,-;Buddinge Hovedgade, 2860 Søborg;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/86m2-3-room-id-5189394;
4 room apartment of 121 m²;13.995;57.291,-;Gladsaxevej, 2860 Søborg - 3rd floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/121m2-4-room-id-4531352;
3 room apartment of 88 m²;12.995;78.670,-;Buddinge Hovedgade, 2860 Søborg - Ground floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/88m2-3-room-id-5212321;
3 room apartment of 100 m²;12.950;65.750,-;Stengårds Alle, 2860 Søborg - 1st floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/100m2-3-room-id-5199145;
3 room apartment of 87 m²;12.690;64.250,-;Rosendal, 2860 Søborg - 1st floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/87m2-3-room-id-5193709;
2 room apartment of 68 m²;11.190;56.750,-;Rosendal, 2860 Søborg - 4th floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/68m2-2-room-id-5193703;
2 room apartment of 60 m²;9.800;69.100,-;Ærtemarken, 2860 Søborg - 1st floor;https://www.boligportal.dk/en/rental-apartments/s%C3%B8borg/60m2-2-room-id-5070418;
2 room apartment of 68 m²;14.300;72.604,-;Skovbrynet, 2800 Kongens Lyngby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/68m2-2-room-id-4947254;
2 room apartment of 55 m²;7.500;53.500,-;Caroline Amalie Vej, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/55m2-2-room-id-4798030;
2 room apartment of 72 m²;9.900;70.100,-;Sorgenfrivej, 2800 Kongens Lyngby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-4931146;
4 room apartment of 69 m²;9.500;66.900,-;S.Willumsens Vej, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/69m2-4-room-id-3571169;
3 room apartment of 83 m²;12.500;50.800,-;Kirsebærvænget, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/83m2-3-room-id-5226160;
2 room apartment of 68 m²;13.600;69.104,-;Skovbrynet, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/68m2-2-room-id-4945879;
4 room apartment of 108 m²;14.650;73.900,-;Rørdams Have, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/108m2-4-room-id-4744863;
3 room apartment of 98 m²;13.475;68.375,-;Buddingevej, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/98m2-3-room-id-5220696;
2 room apartment of 62 m²;13.800;69.673,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-5219810;
2 room apartment of 68 m²;13.900;70.205,-;Skovbrynet, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/68m2-2-room-id-5219809;
2 room apartment of 62 m²;14.000;70.670,-;Skovbrynet, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-5219808;
2 room apartment of 62 m²;13.600;68.673,-;Skovbrynet, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-5219807;
2 room apartment of 68 m²;13.600;68.705,-;Skovbrynet, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/68m2-2-room-id-5219806;
2 room apartment of 62 m²;13.950;70.423,-;Skovbrynet, 2800 Kongens Lyngby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-5219805;
2 room apartment of 68 m²;14.100;71.205,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/68m2-2-room-id-5219804;
2 room apartment of 68 m²;14.100;71.205,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/68m2-2-room-id-5219795;
2 room apartment of 62 m²;13.900;70.170,-;Skovbrynet, 2800 Kongens Lyngby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-5219790;
2 room apartment of 62 m²;13.800;69.670,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-5219789;
2 room apartment of 62 m²;13.300;67.173,-;Skovbrynet, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-5219788;
2 room apartment of 62 m²;13.300;67.173,-;Skovbrynet, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-5219787;
2 room apartment of 61 m²;10.400;42.100,-;Mølleåparken, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/61m2-2-room-id-5218113;
3 room apartment of 71 m²;13.000;39.000,-;Lystoftevej, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/71m2-3-room-id-5217902;
2 room apartment of 91 m²;14.300;72.306,-;Skovbrynet, 2800 Kongens Lyngby - 4th floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/91m2-2-room-id-5215847;
2 room apartment of 53 m²;9.900;21.500,-;Christoffers Alle, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/53m2-2-room-id-5212011;
2 room apartment of 73 m²;13.800;69.714,-;Skovbrynet, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/73m2-2-room-id-5212026;
2 room apartment of 72 m²;14.800;74.710,-;Skovbrynet, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-5212025;
2 room apartment of 73 m²;14.000;70.714,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/73m2-2-room-id-5212000;
2 room apartment of 72 m²;14.000;70.710,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-5211999;
2 room apartment of 73 m²;14.200;71.714,-;Skovbrynet, 2800 Kongens Lyngby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/73m2-2-room-id-5211997;
2 room apartment of 72 m²;14.300;72.210,-;Skovbrynet, 2800 Kongens Lyngby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-5211996;
2 room apartment of 72 m²;13.600;68.710,-;Skovbrynet, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-5211995;
2 room apartment of 72 m²;14.000;70.710,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-5211976;
2 room apartment of 72 m²;13.700;69.210,-;Skovbrynet, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-5211975;
2 room apartment of 72 m²;13.600;68.710,-;Skovbrynet, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-5211974;
2 room apartment of 72 m²;14.400;72.710,-;Skovbrynet, 2800 Kongens Lyngby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-5211968;
2 room apartment of 91 m²;14.300;72.456,-;Skovbrynet, 2800 Kongens Lyngby - 4th floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/91m2-2-room-id-4889642;
2 room apartment of 54 m²;6.800;27.200,-;Baunehøjvej, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/54m2-2-room-id-4732882;
2 room apartment of 68 m²;13.900;70.604,-;Skovbrynet, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/68m2-2-room-id-4946773;
2 room apartment of 72 m²;14.400;73.110,-;Skovbrynet, 2800 Kongens Lyngby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-4889639;
2 room apartment of 72 m²;14.000;71.110,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-4889628;
2 room apartment of 72 m²;13.800;70.110,-;Skovbrynet, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-4889613;
2 room apartment of 62 m²;13.300;67.572,-;Skovbrynet, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-5052706;
2 room apartment of 62 m²;13.900;70.570,-;Skovbrynet, 2800 Kongens Lyngby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-4947247;
2 room apartment of 62 m²;14.000;71.072,-;Skovbrynet, 2800 Kongens Lyngby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-4947246;
2 room apartment of 68 m²;14.100;71.604,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/68m2-2-room-id-4946858;
2 room apartment of 68 m²;14.100;71.604,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/68m2-2-room-id-4946855;
2 room apartment of 62 m²;13.800;70.070,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-4946817;
