Type;Rent;Move in price;Address;Link
2 værelses lejlighed på 57 m²,4.237,30.059,-,https://www.boligportal.dk/lejligheder/aarhus/57m2-2-vaer-id-5164410
1 værelses lejlighed på 25 m²,4.250,25.500,-,https://www.boligportal.dk/lejligheder/aarhus/25m2-1-vaer-id-4740943
1 værelses lejlighed på 26 m²,4.250,25.500,-,https://www.boligportal.dk/lejligheder/aarhus/26m2-1-vaer-id-5156935
1 værelses lejlighed på 35 m²,4.300,25.800,-,https://www.boligportal.dk/lejligheder/aarhus/35m2-1-vaer-id-5175597
1 værelses lejlighed på 30 m²,4.400,22.300,-,https://www.boligportal.dk/lejligheder/aarhus/30m2-1-vaer-id-3378123
1 værelses lejlighed på 36 m²,4.449,20.249,-,https://www.boligportal.dk/lejligheder/aarhus/36m2-1-vaer-id-5158511
2 værelses lejlighed på 40 m²,4.500,18.500,-,https://www.boligportal.dk/lejligheder/aarhus/40m2-2-vaer-id-5103327
2 værelses lejlighed på 25 m²,4.500,18.500,-,https://www.boligportal.dk/lejligheder/aarhus/25m2-2-vaer-id-5168236
1 værelses lejlighed på 28 m²,4.500,31.800,-,https://www.boligportal.dk/lejligheder/aarhus/28m2-1-vaer-id-5169248
1 værelses lejlighed på 36 m²,4.515,32.005,-,https://www.boligportal.dk/lejligheder/aarhus/36m2-1-vaer-id-4421593
3 værelses lejlighed på 73 m²,4.520,32.240,-,https://www.boligportal.dk/lejligheder/aarhus/73m2-3-vaer-id-5175609
1 værelses lejlighed på 39 m²,4.588,18.802,-,https://www.boligportal.dk/lejligheder/aarhus/39m2-1-vaer-id-1695794
1 værelses lejlighed på 45 m²,4.600,29.700,-,https://www.boligportal.dk/lejligheder/aarhus/45m2-1-vaer-id-5138576
1 værelses lejlighed på 32 m²,4.800,24.300,-,https://www.boligportal.dk/lejligheder/aarhus/32m2-1-vaer-id-3699303
1 værelses lejlighed på 31 m²,4.875,34.625,-,https://www.boligportal.dk/lejligheder/aarhus/31m2-1-vaer-id-4117660
1 værelses lejlighed på 46 m²,4.950,22.350,-,https://www.boligportal.dk/lejligheder/aarhus/46m2-1-vaer-id-3943810
1 værelses lejlighed på 40 m²,4.995,23.990,-,https://www.boligportal.dk/lejligheder/aarhus/40m2-1-vaer-id-4864172
2 værelses lejlighed på 56 m²,4.995,30.570,-,https://www.boligportal.dk/lejligheder/aarhus/56m2-2-vaer-id-2833297
3 værelses lejlighed på 70 m²,5.000,21.000,-,https://www.boligportal.dk/lejligheder/aarhus/70m2-3-vaer-id-5167340
3 værelses lejlighed på 55 m²,5.000,23.000,-,https://www.boligportal.dk/lejligheder/aarhus/55m2-3-vaer-id-5173647
2 værelses lejlighed på 45 m²,5.000,15.000,-,https://www.boligportal.dk/lejligheder/aarhus/45m2-2-vaer-id-5137371
1 værelses lejlighed på 25 m²,5.000,25.000,-,https://www.boligportal.dk/lejligheder/aarhus/25m2-1-vaer-id-4085003
1 værelses lejlighed på 45 m²,5.050,35.784,-,https://www.boligportal.dk/lejligheder/aarhus/45m2-1-vaer-id-5175676
1 værelses lejlighed på 44 m²,5.050,35.784,-,https://www.boligportal.dk/lejligheder/aarhus/44m2-1-vaer-id-5155818
1 værelses lejlighed på 29 m²,5.195,26.375,-,https://www.boligportal.dk/lejligheder/aarhus/29m2-1-vaer-id-4287653
2 værelses lejlighed på 57 m²,5.200,20.800,-,https://www.boligportal.dk/lejligheder/aarhus/57m2-2-vaer-id-5176312
2 værelses lejlighed på 54 m²,5.275,22.100,-,https://www.boligportal.dk/lejligheder/aarhus/54m2-2-vaer-id-4631810
1 værelses lejlighed på 44 m²,5.280,37.460,-,https://www.boligportal.dk/lejligheder/aarhus/44m2-1-vaer-id-4368098
1 værelses lejlighed på 50 m²,5.300,37.600,-,https://www.boligportal.dk/lejligheder/aarhus/50m2-1-vaer-id-4399064
1 værelses lejlighed på 28 m²,5.400,27.300,-,https://www.boligportal.dk/lejligheder/aarhus/28m2-1-vaer-id-5139904
1 værelses lejlighed på 48 m²,5.400,16.200,-,https://www.boligportal.dk/lejligheder/aarhus/48m2-1-vaer-id-4849908
